"","Topic 1","Topic 2","Topic 3","Topic 4"
"1","government","world","great","will"
"2","upon","new","country","can"
"3","states","nation","every","people"
"4","shall","freedom","may","one"
"5","public","peace","united","must"
"6","constitution","nations","war","now"
"7","union","let","made","time"
"8","people","life","well","american"
"9","rights","must","without","citizens"
"10","may","work","spirit","right"
"11","laws","free","power","liberty"
"12","duty","justice","just","make"
"13","interests","know","best","law"
"14","power","history","principles","president"
"15","national","human","confidence","future"
"16","state","faith","never","government"
"17","foreign","man","nation","always"
"18","powers","god","force","believe"
"19","political","day","still","take"
"20","policy","together","high","security"
